MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"C121459","BATES COUNTY DEMOCRAT WOMEN'S CLUB","January Quarterly Report","2019","Full Disclosure","1422.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1422.0000","432.1900","0.0000","0.0000","0.0000","0.0000","432.1900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.4700","503.4700","1098.4800","0.0000","503.4700","0.0000","503.4700","595.0100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C161160","Friends Of Richard Brown","January Quarterly Report","2019","Full Disclosure","15727.2500","500.0000","0.0000","0.0000","500.0000","0.0000","16227.2500","5514.7000","713.7200","0.0000","0.0000","713.7200","6228.4200","750.0000","0.0000","0.0000","0.0000","0.0000","750.0000","0.0000","0.0000","0.0000","0.0000","7325.6200","500.0000","713.7200","0.0000","713.7200","7111.9000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A131091","James F Loomis III Election Committee","January Quarterly Report","2019","Full Disclosure","5667.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5667.0000","1635.0000","0.0000","0.0000","0.0000","0.0000","1635.0000","1895.0000","0.0000","0.0000","0.0000","0.0000","1895.0000","0.0000","0.0000","0.0000","0.0000","7129.2900","0.0000","0.0000","0.0000","0.0000","7129.2900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141133","Committee To Elect Leah Betts","January Quarterly Report","2019","Full Disclosure","10305.0000","0.0000","0.0000","0.0000","0.0000","0.0000","10305.0000","9374.0000","0.0000","0.0000","0.0000","0.0000","9374.0000","35.0000","0.0000","0.0000","0.0000","0.0000","35.0000","0.0000","0.0000","0.0000","0.0000","611.2500","0.0000","0.0000","0.0000","0.0000","611.2500","5065.2500","0.0000","0.0000","0.0000","0.0000","0.0000","5065.2500"
"A171446","Citizens for Hensley","January Quarterly Report","2019","Full Disclosure","0.0000","100.0000","0.0000","0.0000","100.0000","0.0000","100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1844.9900","100.0000","0.0000","0.0000","0.0000","1944.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A161511","Citizens To Elect Bill King","January Quarterly Report","2019","Full Disclosure","2720.0000","0.0000","100.0000","0.0000","100.0000","0.0000","2820.0000","1649.0500","0.0000","0.0000","0.0000","0.0000","1649.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","110.9500","100.0000","0.0000","0.0000","0.0000","210.9500","100.0000","100.0000","0.0000","0.0000","0.0000","0.0000","200.0000"
"C081051","FIRE PAC 3133","January Quarterly Report","2019","Full Disclosure","92346.3600","2655.0000","0.0000","0.0000","2655.0000","0.0000","95001.3600","34187.3200","0.0000","0.0000","0.0000","0.0000","34187.3200","48637.9400","0.0000","0.0000","0.0000","0.0000","48637.9400","0.0000","0.0000","0.0000","0.0000","49079.5900","2655.0000","0.0000","0.0000","0.0000","51734.5900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000763","KC BizPAC The Political Action Committee of the Greater Kansas City Chamber of Commerce in Partnership with the Civic Council of Greater Kansas City","January Quarterly Report","2019","Full Disclosure","55600.0000","3850.0000","0.0000","0.0000","3850.0000","0.0000","59450.0000","2932.0300","19.1800","0.0000","0.0000","19.1800","2951.2100","9200.0000","0.0000","0.0000","0.0000","0.0000","9200.0000","0.0000","0.0000","0.0000","0.0000","57151.7400","3850.0000","19.1800","0.0000","19.1800","60982.5600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180500","Friends Of Kevin Corlew","January Quarterly Report","2019","Full Disclosure","71046.9300","300.0000","0.0000","63.7100","1563.7100","1200.0000","72610.6400","55971.7200","4234.7000","0.0000","0.0000","4234.7000","60206.4200","0.0000","500.0000","0.0000","0.0000","500.0000","500.0000","0.0000","0.0000","30.0000","30.0000","13775.2100","363.7100","4764.7000","0.0000","4764.7000","9374.2200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C071089","LOCAL 682 TEAMSTERS PAC","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","98.1500","0.0000","0.0000","0.0000","0.0000","98.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C051195","TEAMSTERS LOCAL 955 POLITICAL ACTION FUND","January Quarterly Report","2019","Full Disclosure","6229.1300","540.0000","0.0000","0.0000","540.0000","0.0000","6769.1300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12150.0000","0.0000","0.0000","0.0000","0.0000","12150.0000","0.0000","0.0000","0.0000","0.0000","909.9300","540.0000","0.0000","0.0000","0.0000","1449.9300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A180340","Committee to Elect Linda Dickerson-Bell","January Quarterly Report","2019","Full Disclosure","6304.2500","0.0000","0.0000","0.0000","0.0000","0.0000","6304.2500","5311.3100","0.0000","0.0000","0.0000","0.0000","5311.3100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2047.9400","0.0000","0.0000","2047.9400","2047.9400","0.0000","2047.9400","0.0000","2047.9400","0.0000","2389.1200","0.0000","0.0000","0.0000","2047.9400","0.0000","341.1800"
"C171121","Rudy Veit For State Representative","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","668.4900","0.0000","0.0000","668.4900","668.4900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14820.0500","0.0000","668.4900","0.0000","668.4900","14151.5600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C001029","CALLAWAY COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2019","Full Disclosure","5895.0000","0.0000","0.0000","349.0000","349.0000","0.0000","6244.0000","3592.4400","14.0000","0.0000","0.0000","14.0000","3606.4400","3199.0000","0.0000","0.0000","0.0000","0.0000","3199.0000","0.0000","0.0000","0.0000","0.0000","4116.9100","349.0000","14.0000","0.0000","14.0000","4451.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000970","MACON COUNTY REPUBLICAN COMMITTEE","January Quarterly Report","2019","Full Disclosure","13987.6700","0.0000","0.0000","0.0000","0.0000","0.0000","13987.6700","8299.9700","157.5000","0.0000","0.0000","157.5000","8457.4700","10400.0000","0.0000","0.0000","0.0000","0.0000","10400.0000","0.0000","0.0000","0.0000","0.0000","3523.7300","0.0000","157.5000","0.0000","157.5000","3366.2300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091150","Wagner For Kansas City","January Quarterly Report","2019","Full Disclosure","91762.4100","36110.0000","0.0000","200.3900","36310.3900","0.0000","128072.8000","92352.5100","32007.1800","0.0000","0.0000","32007.1800","124359.6900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","20155.2700","36310.3900","32007.1800","0.0000","32007.1800","24458.4800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C171187","Missourians For O'Laughlin","January Quarterly Report","2019","Full Disclosure","427637.6000","1000.0000","0.0000","0.0000","1000.0000","0.0000","428637.6000","356456.2400","3164.0400","0.0000","0.0000","3164.0400","359620.2800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5000.0000","0.0000","0.0000","5000.0000","52743.4800","1000.0000","8164.0400","0.0000","8164.0400","45579.4400","136978.3900","0.0000","0.0000","0.0000","5000.0000","0.0000","131978.3900"
"C180560","JeffCo Forward","January Quarterly Report","2019","Full Disclosure","4542.9400","22.7300","0.0000","0.0000","22.7300","0.0000","4565.6700","3611.9100","0.0000","0.0000","0.0000","0.0000","3611.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","588.0900","22.7300","0.0000","0.0000","0.0000","610.8200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180125","McGirl For State Rep","January Quarterly Report","2019","Full Disclosure","44991.3000","0.0000","0.0000","0.0000","0.0000","0.0000","44991.3000","5564.8400","1643.0000","0.0000","0.0000","1643.0000","7207.8400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","31903.6600","0.0000","1643.0000","0.0000","1643.0000","30260.6600","14043.5000","0.0000","0.0000","0.0000","0.0000","0.0000","14043.5000"
"A180121","Elect Susan Blackburn","January Quarterly Report","2019","Full Disclosure","2325.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2325.0000","1957.6400","0.0000","0.0000","0.0000","0.0000","1957.6400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","367.3600","0.0000","0.0000","0.0000","0.0000","367.3600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141069","Tunnell For Judge","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","11.2500","11.2500","11.2500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","840.7100","0.0000","0.0000","0.0000","0.0000","840.7100","24100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24100.0000"
"C111112","CAPE COUNTY DEMOCRAT WOMEN","January Quarterly Report","2019","Full Disclosure","587.1600","0.0000","0.0000","0.0000","0.0000","0.0000","587.1600","515.0000","0.0000","0.0000","0.0000","0.0000","515.0000","825.0000","0.0000","0.0000","0.0000","0.0000","825.0000","0.0000","0.0000","0.0000","0.0000","686.6500","0.0000","0.0000","0.0000","0.0000","686.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C111112","CAPE COUNTY DEMOCRAT WOMEN","January Quarterly Report","2019","Full Disclosure","587.1600","0.0000","0.0000","0.0000","0.0000","0.0000","587.1600","515.0000","0.0000","0.0000","0.0000","0.0000","515.0000","825.0000","0.0000","0.0000","0.0000","0.0000","825.0000","0.0000","0.0000","0.0000","0.0000","686.6500","0.0000","0.0000","0.0000","0.0000","686.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000997","EIGHTH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE","January Quarterly Report","2019","Full Disclosure","1200.7100","0.0000","0.0000","0.0000","0.0000","0.0000","1200.7100","585.0000","0.0000","0.0000","0.0000","0.0000","585.0000","250.0000","0.0000","0.0000","0.0000","0.0000","250.0000","0.0000","0.0000","0.0000","0.0000","2233.1800","0.0000","0.0000","0.0000","0.0000","2233.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180498","Bergland For Missouri","January Quarterly Report And Termination","2019","Full Disclosure","10164.5900","666.0800","0.0000","0.0000","666.0800","0.0000","10830.6700","0.0000","4.0000","0.0000","0.0000","4.0000","4.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","776.3000","0.0000","776.3000","114.2200","666.0800","0.0000","780.3000","780.3000","0.0000","776.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000454","CAPE GIRARDEAU DEMOCRATIC CENTRAL COMMITTEE","January Quarterly Report","2019","Full Disclosure","37722.7100","860.0000","0.0000","0.0000","860.0000","0.0000","38582.7100","1830.9100","2355.9100","0.0000","0.0000","2355.9100","4186.8200","3935.0000","0.0000","0.0000","0.0000","0.0000","3935.0000","0.0000","0.0000","0.0000","0.0000","6316.7900","860.0000","2355.9100","0.0000","2355.9100","4820.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180221","Paul Berry III For St Louis County","January Quarterly Report And Termination","2019","Full Disclosure","119893.4700","0.0000","0.0000","1346.8000","1346.8000","0.0000","121240.2700","117163.8900","5960.2100","0.0000","0.0000","5960.2100","123124.1000","150.0000","0.0000","0.0000","0.0000","0.0000","150.0000","0.0000","0.0000","0.0000","0.0000","4613.4100","1346.8000","5960.2100","0.0000","5960.2100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C111070","SATER FOR SENATE","January Quarterly Report","2019","Full Disclosure","119550.5300","0.0000","0.0000","0.0000","0.0000","0.0000","119550.5300","28842.8700","1424.2500","0.0000","0.0000","1424.2500","30267.1200","61700.0000","0.0000","0.0000","0.0000","0.0000","61700.0000","0.0000","0.0000","0.0000","0.0000","197531.7900","0.0000","1424.2500","0.0000","1424.2500","196107.5400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C001037","BARRY COUNTY REPUBLICAN COMMITTEE","January Quarterly Report","2019","Full Disclosure","3735.1000","0.0000","0.0000","0.0000","0.0000","0.0000","3735.1000","6008.3900","319.5900","0.0000","0.0000","319.5900","6327.9800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8427.6200","0.0000","319.5900","0.0000","319.5900","8108.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C081432","Constitution Party of Missouri","January Quarterly Report","2019","Full Disclosure","3536.5600","40.0000","0.0000","0.0000","40.0000","0.0000","3576.5600","4228.5400","21.7600","0.0000","0.0000","21.7600","4250.3000","800.0000","0.0000","0.0000","0.0000","0.0000","800.0000","0.0000","0.0000","0.0000","0.0000","1290.6700","40.0000","21.7600","0.0000","21.7600","1308.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C171114","Dred Scott Advocates for Justice and Equity","January Quarterly Report","2019","Full Disclosure","2050.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2050.0000","440.0000","8.0000","0.0000","0.0000","8.0000","448.0000","300.0000","75.0000","0.0000","0.0000","75.0000","375.0000","0.0000","0.0000","0.0000","0.0000","1310.0000","0.0000","83.0000","0.0000","83.0000","1227.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C171118","Elect Kevin McEvoy","January Quarterly Report","2019","Full Disclosure","1185.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1185.0000","1122.6500","9.0000","0.0000","0.0000","9.0000","1131.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","62.3500","0.0000","9.0000","0.0000","9.0000","53.3500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000709","MOAIFA PAC","January Quarterly Report","2019","Full Disclosure","7951.2500","2093.2500","0.0000","0.0000","2093.2500","0.0000","10044.5000","280.0000","70.0000","0.0000","0.0000","70.0000","350.0000","12250.0000","500.0000","0.0000","0.0000","500.0000","12750.0000","0.0000","0.0000","0.0000","0.0000","2360.7400","2093.2500","570.0000","0.0000","570.0000","3883.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C081330","REPUBLICANS OF PIKE COUNTY (CLUB)","January Quarterly Report","2019","Full Disclosure","8791.3300","25.0000","0.0000","0.0000","25.0000","0.0000","8816.3300","9665.0000","0.0000","0.0000","0.0000","0.0000","9665.0000","4903.0000","0.0000","0.0000","0.0000","0.0000","4903.0000","0.0000","0.0000","0.0000","0.0000","2598.6800","25.0000","0.0000","0.0000","0.0000","2623.6800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C171136","Clubb for Missouri","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","116.2300","116.2300","0.0000","0.0000","116.2300","232.4600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","118.4800","0.0000","116.2300","0.0000","116.2300","2.2500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000652","MO Land Title PAC","January Quarterly Report","2019","Full Disclosure","18526.0000","6120.0000","0.0000","0.0000","6120.0000","0.0000","24646.0000","5245.3700","3289.6400","0.0000","0.0000","3289.6400","8535.0100","21700.0000","750.0000","0.0000","0.0000","750.0000","22450.0000","0.0000","0.0000","0.0000","0.0000","4861.6300","6120.0000","4039.6400","0.0000","4039.6400","6941.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000474","TESSON FERRY DEMOCRATIC ORGANIZATION","January Quarterly Report","2019","Full Disclosure","8850.3000","100.0000","0.0000","40.0000","140.0000","0.0000","8990.3000","2590.8200","443.8500","0.0000","0.0000","443.8500","3034.6700","6411.4600","0.0000","0.0000","0.0000","0.0000","6411.4600","0.0000","0.0000","0.0000","0.0000","658.3000","140.0000","443.8500","0.0000","443.8500","354.4500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C031250","MO Rental Dealers Association PAC","January Quarterly Report","2019","Full Disclosure","8125.0000","8295.0000","0.0000","0.0000","8295.0000","0.0000","16420.0000","280.0000","70.0000","0.0000","0.0000","70.0000","350.0000","23750.0000","250.0000","0.0000","0.0000","250.0000","24000.0000","0.0000","0.0000","0.0000","0.0000","8374.8900","8295.0000","320.0000","0.0000","320.0000","16349.8900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C031033","Wayne County Republican Committee","January Quarterly Report","2019","Full Disclosure","927.0000","927.0000","0.0000","0.0000","927.0000","0.0000","1854.0000","71.3100","71.3100","0.0000","0.0000","71.3100","142.6200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","541.1600","927.0000","71.3100","0.0000","71.3100","1396.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180454","Forte' For Jackson County Sheriff Committee","January Quarterly Report","2019","Full Disclosure","42211.0000","0.0000","0.0000","0.0000","0.0000","0.0000","42211.0000","40825.9100","0.0000","0.0000","0.0000","0.0000","40825.9100","1000.0000","0.0000","0.0000","0.0000","0.0000","1000.0000","0.0000","0.0000","0.0000","0.0000","385.0000","0.0000","0.0000","0.0000","0.0000","385.0000","19050.0000","0.0000","0.0000","0.0000","0.0000","0.0000","19050.0000"
"A131000","COMMITTEE TO ELECT CARLOS GRAHAM","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","382.9100","0.0000","0.0000","0.0000","0.0000","382.9100","1228.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1228.0000"
"A171087","Friends of Alan Cook","January Quarterly Report","2019","Full Disclosure","40.0000","10.0000","0.0000","0.0000","10.0000","0.0000","50.0000","405.0000","0.0000","0.0000","0.0000","0.0000","405.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","515.5500","10.0000","0.0000","0.0000","0.0000","525.5500","7700.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7700.0000"
"C141025","CITIZENS FOR MURPHY","January Quarterly Report","2019","Full Disclosure","100.0000","100.0000","0.0000","0.0000","100.0000","0.0000","200.0000","30.0000","30.0000","0.0000","0.0000","30.0000","60.0000","335.0000","335.0000","0.0000","0.0000","335.0000","670.0000","0.0000","0.0000","0.0000","0.0000","6856.0000","100.0000","365.0000","0.0000","365.0000","6591.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C010435","CITIZENS FOR RESPONSIBLE COMMUNITY","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","90.0000","0.0000","0.0000","0.0000","0.0000","90.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","911.6000","0.0000","0.0000","0.0000","0.0000","911.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C171106","Citizens For Brad Hudson","AMENDED January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","300.0000","0.0000","0.0000","300.0000","300.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","134.6800","134.6800","4358.8000","0.0000","434.6800","0.0000","434.6800","3924.1200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180690","Ian Thomas For 4th Ward","January Quarterly Report","2019","Full Disclosure","0.0000","3905.0000","0.0000","0.0000","4553.3500","648.3500","4553.3500","0.0000","1110.0000","0.0000","76.2100","1186.2100","1186.2100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","76.2100","0.0000","0.0000","76.2100","0.0000","3905.0000","1186.2100","0.0000","1186.2100","2718.7900","0.0000","0.0000","76.2100","0.0000","76.2100","0.0000","0.0000"
"C001047","0006TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE","January Quarterly Report","2019","Full Disclosure","800.0000","300.0100","0.0000","0.0000","300.0100","0.0000","1100.0100","174.4700","0.0000","0.0000","0.0000","0.0000","174.4700","500.0000","400.0000","0.0000","0.0000","400.0000","900.0000","0.0000","0.0000","0.0000","0.0000","1131.2900","300.0100","400.0000","0.0000","400.0000","1031.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
