MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"A161291","FRIENDS OF GEORGIA ESSER","AMENDED January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","100.0000","0.0000","117.2100","217.2100","217.2100","0.0000","217.2100","0.0000","217.2100","0.0000","100.0000","0.0000","0.0000","0.0000","100.0000","0.0000","0.0000"
"C180326","Committee to ReElect Melissa Kempke Pike County Clerk","January Quarterly Report","2019","Full Disclosure","2976.8600","0.0000","0.0000","0.0000","0.0000","0.0000","2976.8600","895.5000","373.0000","0.0000","0.0000","373.0000","1268.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.4700","0.0000","0.0000","3.4700","376.4700","0.0000","373.0000","3.4700","376.4700","0.0000","571.9700","0.0000","0.0000","0.0000","3.4700","0.0000","568.5000"
"C180645","Citizens To Elect Christina Buie","January Quarterly Report","2019","Full Disclosure","1715.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1715.0000","1584.9800","307.3500","0.0000","0.0000","307.3500","1892.3300","25.0000","0.0000","0.0000","0.0000","0.0000","25.0000","0.0000","0.0000","0.0000","0.0000","307.3500","0.0000","307.3500","0.0000","307.3500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C041530","Morgan County Democratic Central Committee","January Quarterly Report","2019","Full Disclosure","785.2900","0.0000","0.0000","0.0000","0.0000","0.0000","785.2900","70.5000","276.7500","0.0000","0.0000","276.7500","347.2500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1189.5800","0.0000","276.7500","0.0000","276.7500","912.8300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C180676","SE Missouri Building Trades Council","January Quarterly Report","2019","Full Disclosure","0.0000","8460.0000","0.0000","0.0000","8460.0000","0.0000","8460.0000","0.0000","667.8900","0.0000","0.0000","667.8900","667.8900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8460.0000","667.8900","0.0000","667.8900","7792.1100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141587","Citizens For Ken McClure","January Quarterly Report","2019","Full Disclosure","14300.0000","6055.0000","0.0000","0.0000","6055.0000","0.0000","20355.0000","698.6100","329.8500","0.0000","0.0000","329.8500","1028.4600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","18043.8000","6055.0000","329.8500","0.0000","329.8500","23768.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A180592","Local Taxpayers For Responsible Spending","January Quarterly Report","2019","Full Disclosure","158.0000","0.0000","0.0000","0.0000","0.0000","0.0000","158.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","158.0000","0.0000","0.0000","0.0000","0.0000","158.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C031230","COMMITTEE FOR EXCELLENCE","January Quarterly Report","2019","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2330.5400","28.0000","0.0000","0.0000","28.0000","2358.5400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1793.9500","0.0000","28.0000","0.0000","28.0000","1765.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141348","CAPE GIRARDEAU FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT PAC","January Quarterly Report","2019","Full Disclosure","11690.0000","0.0000","0.0000","0.0000","0.0000","0.0000","11690.0000","7067.0000","0.0000","0.0000","0.0000","0.0000","7067.0000","1500.0000","0.0000","0.0000","0.0000","0.0000","1500.0000","0.0000","0.0000","0.0000","0.0000","8267073.0000","0.0000","0.0000","0.0000","0.0000","8267073.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C081010","KCFT & SRP State & Local Cope","January Quarterly Report","2019","Full Disclosure","23411.5100","436.1600","0.0000","0.0000","436.1600","0.0000","23847.6700","6619.5200","15.0000","0.0000","0.0000","15.0000","6634.5200","37400.0000","0.0000","0.0000","0.0000","0.0000","37400.0000","0.0000","0.0000","0.0000","0.0000","10033.2800","436.1600","0.0000","15.0000","15.0000","10454.4400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
