MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"C091243","FRIENDS TO ELECT BILL LANT","January Quarterly Report","2011","Full Disclosure","21273.7600","150.0000","0.0000","0.0000","150.0000","0.0000","21423.7600","17722.3800","696.8800","0.0000","0.0000","696.8800","18419.2600","450.0000","0.0000","0.0000","0.0000","0.0000","450.0000","0.0000","0.0000","0.0000","0.0000","3101.3800","150.0000","696.8800","0.0000","696.8800","2554.5000","2400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2400.0000"
"A101326","COMMITTEE TO ELECT ROBERT SEE","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A101431","CITIZENS FOR STUMPE","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C051242","FRIENDS TO REELECT JUDGE COLYER","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A101425","VOTE FOR INDEPENDENCE","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000793","ELECTRICAL WORKERS VOL POL EDUC & LEG FUND","January Quarterly Report","2011","Full Disclosure","1117880.8600","32500.0000","0.0000","18.1200","32518.1200","0.0000","1150398.9800","24715.2200","0.0000","0.0000","0.0000","0.0000","24715.2200","38750.0000","38750.0000","0.0000","0.0000","38750.0000","77500.0000","0.0000","0.0000","6795.1000","6795.1000","165935.2000","32518.1200","38750.0000","0.0000","45545.1000","152908.2200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C051071","MONARCH FIREFIGHTERS FOR PUBLIC AWARENESS ","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000769","GLAZIERS ARCHITECTURAL METAL & GLASSWORKERS LOCAL UNION NO 513","January Quarterly Report","2011","Full Disclosure","10963.7700","8975.0000","0.0000","14.0500","8989.0500","0.0000","19952.8200","9870.5300","2016.1500","0.0000","0.0000","2016.1500","11886.6800","6990.0000","100.0000","0.0000","0.0000","100.0000","7090.0000","0.0000","0.0000","0.0000","0.0000","21716.3900","8989.0500","2116.1500","0.0000","2116.1500","28589.2900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000738","JEFFERSON BANK & TRUST PAC","April Quarterly Report","2011","Full Disclosure","2500.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2500.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3850.0000","0.0000","0.0000","0.0000","0.0000","3850.0000","0.0000","0.0000","0.0000","0.0000","92.2500","0.0000","0.0000","0.0000","0.0000","92.2500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000836","CENTRAL BANCOMPANY-PAC","April Quarterly Report","2011","Full Disclosure","0.0000","20000.0000","0.0000","0.0000","20000.0000","0.0000","20000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14825.0000","0.0000","0.0000","14825.0000","14825.0000","0.0000","0.0000","0.0000","0.0000","9672.8100","20000.0000","14825.0000","0.0000","14825.0000","14847.8100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
