mecid,committee_name_x,candidate_name,party,office_sought,status,committee_name_y,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness
C201279,Manring4MO128,Marvin Manring,D,State Representative - District 128 - Missouri House of Representatives,A,Manring4MO128,October Quarterly Report,2020,Full Disclosure,13328.35,930.18,0.0,0.0,930.18,0.0,14258.53,6850.92,1066.98,0.0,0.0,1066.98,7917.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6187.43,930.18,927.26,139.72,1066.98,6050.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C151167,Stephens For State Rep,Michael Stephens,R,State Representative - District 128 - Missouri House of Representatives,A,Stephens For State Rep,October Quarterly Report,2020,Full Disclosure,8400.0,14350.0,0.0,0.0,14350.0,0.0,22750.0,3430.11,2512.5,0.0,0.0,2512.5,5942.61,1856.83,0.0,0.0,0.0,0.0,1856.83,0.0,0.0,0.0,0.0,18986.45,14350.0,2512.5,0.0,2512.5,30823.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C171201,Friends Of Jeff Knight,Jeff Knight,R,State Representative - District 129 - Missouri House of Representatives,A,Friends Of Jeff Knight,October Quarterly Report,2020,Full Disclosure,81980.17,4250.0,0.0,0.0,4250.0,0.0,86230.17,58952.43,0.0,0.0,0.0,0.0,58952.43,6728.75,0.0,0.0,0.0,0.0,6728.75,0.0,0.0,0.0,0.0,15189.82,4250.0,0.0,0.0,0.0,19439.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201429,Citizens for Sean Pouche,Sean Pouche,R,State Representative - District 13 - Missouri House of Representatives,A,Citizens for Sean Pouche,October Quarterly Report,2020,Full Disclosure,0.0,8400.0,3000.0,0.0,11453.12,53.12,11453.12,0.0,411.64,0.0,1689.3,2100.94,2100.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,411.64,0.0,411.64,10988.36,0.0,3000.0,1689.3,0.0,0.0,0.0,4689.3
C191029,Friends For Vic Abundis,Victor Abundis,D,State Representative - District 13 - Missouri House of Representatives,T,Friends For Vic Abundis,October Quarterly Report,2020,Full Disclosure,2563.79,9390.41,2742.0,0.0,12132.41,0.0,14696.2,3508.12,5000.0,0.0,15.0,5015.0,8523.12,105.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,578.45,12132.41,5000.0,0.0,5000.0,7710.86,0.0,2742.0,15.0,0.0,0.0,0.0,2757.0
C171332,Missourians For Vic Allred,Victor Allred,R,State Representative - District 13 - Missouri House of Representatives,A,Missourians For Vic Allred,October Quarterly Report,2020,Full Disclosure,100099.99,2350.0,0.0,0.0,2350.0,0.0,102449.99,62933.83,123.96,0.0,0.0,123.96,63057.79,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,11643.26,2350.0,10123.96,0.0,10123.96,3869.3,10000.0,0.0,0.0,0.0,10000.0,0.0,0.0
C190934,Committee to Elect Bishop Davidson,Bishop Davidson,R,State Representative - District 130 - Missouri House of Representatives,A,Committee to Elect Bishop Davidson,October Quarterly Report,2020,Full Disclosure,42423.49,11242.88,0.0,0.0,11242.88,0.0,53666.37,35802.81,1419.49,0.0,0.0,1419.49,37222.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6242.98,11242.88,1419.49,0.0,1419.49,16066.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C190922,Dave Gragg For Missouri,Dave Gragg,D,State Representative - District 130 - Missouri House of Representatives,A,Dave Gragg For Missouri,October Quarterly Report,2020,Full Disclosure,4343.56,414.41,0.0,0.0,414.41,0.0,4757.97,2084.49,725.55,0.0,0.0,725.55,2810.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4345.87,414.41,725.55,0.0,725.55,4034.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201173,Committee to Elect Allison Schoolcraft,Allison Schoolcraft,D,State Representative - District 131 - Missouri House of Representatives,A,Committee to Elect Allison Schoolcraft,October Quarterly Report,2020,Full Disclosure,665.0,1928.85,0.0,0.0,1928.85,0.0,2593.85,80.84,844.6,0.0,0.0,844.6,925.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.16,1928.85,795.17,49.43,844.6,1378.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C190842,Citizens for Owen,Bill Owen,R,State Representative - District 131 - Missouri House of Representatives,A,Citizens for Owen,October Quarterly Report,2020,Full Disclosure,29271.8,6659.7,0.0,0.0,6659.7,0.0,35931.5,17246.59,1550.0,0.0,0.0,1550.0,18796.59,200.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,11373.21,6659.7,1550.0,0.0,1550.0,16482.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C151099,CITIZENS FOR CRYSTAL QUADE,CRYSTAL QUADE,D,State Representative - District 132 - Missouri House of Representatives,A,CITIZENS FOR CRYSTAL QUADE,October Quarterly Report,2020,Full Disclosure,0.0,27331.18,0.0,0.0,27331.18,0.0,27331.18,0.0,8485.58,0.0,0.0,8485.58,8485.58,0.0,25000.0,0.0,0.0,25000.0,25000.0,0.0,0.0,0.0,0.0,46246.4,27331.18,33485.58,0.0,33485.58,40092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C190757,Cindy Slimp For The People,Cindy Slimp,D,State Representative - District 133 - Missouri House of Representatives,A,Cindy Slimp For The People,October Quarterly Report,2020,Full Disclosure,8207.22,1513.38,0.0,0.0,1513.38,0.0,9720.6,5305.19,242.78,0.0,0.0,242.78,5547.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.72,1513.38,242.78,0.0,242.78,4150.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C151073,Friends Of Curtis Trent,Curtis Trent,R,State Representative - District 133 - Missouri House of Representatives,A,Friends Of Curtis Trent,October Quarterly Report,2020,Full Disclosure,33588.0,47500.0,0.0,0.0,47575.0,75.0,81163.0,21427.4,7989.3,0.0,0.0,7989.3,29416.7,3501.96,100.0,0.0,0.0,100.0,3601.96,0.0,0.0,0.0,0.0,84756.36,47500.0,8089.3,0.0,8089.3,124167.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
